State	City	Institution	Reciprocity
	Kansas City	Sea Life Kansas City Aquarium	50%
	Saint Louis	Saint Louis Zoo	FREE TO PUBLIC - 50% off Adventure Pass (Limit 4)
	Springfield	Dickerson Park Zoo	50%
Montana	Billings	ZooMontana	100% OR 50%
	West Yellowstone	Grizzly & Wolf Discovery Center	50%
Nebraska	Lincoln	Lincoln Children's Zoo	50%
	Omaha	Omaha's Henry Doorly Zoo & Aquarium	50%
New Jersey	Cape May	Cape May County Park Zoo	FREE TO PUBLIC 10% discount in gift shop
	West Orange	Turtle Back Zoo	50%
New Mexico	Albuquerque	Albuquerque Biological Park	50%
New York	Buffalo	Buffalo Zoo	50%
	Millbrook	Trevor-Lovejoy Zoo	100% OR 50%
	Niagara Falls	Aquarium of Niagara	50%
New York	Rochester	Seneca Park Zoo	50%
	Staten Island	Staten Island Zoo	100% OR 50%
	Syracuse	Rosamond Gifford Zoo at Burnet Park	50%
	Utica	Utica Zoo	50%
North Carolina	Asheboro	North Carolina Zoo	100% OR 50%
	Asheville	Western North Carolina Nature Center	100% OR 50%
	Durham	Museum of Life and Science	50%
	Greensboro	Greensboro Science Center	50%
	Kure Beach	No. Carolina Aquarium at Fort Fisher	50%
	Manteo	No. Carolina Aquarium at Roanoke Island	50%
	Pine Knoll Shores	No. Carolina Aquarium at Pine Knoll Shores	50%
North Dakota	Bismarck	Dakota Zoo	100% OR 50%
	Fargo	Red River Zoo	100% OR 50%
	Minot	Roosevelt Park Zoo	100% OR 50%
Ohio	Akron	Akron Zoological Park	50%
	Cincinnati	Cincinnati Zoo & Botanical Garden	50%
	Cleveland	Cleveland Metroparks Zoo	50%
	Cumberland	The Wilds	50% off Open Air Safari
	Dayton	Boonshoft Museum of Discovery	100% OR 50%
	Powell	Columbus Zoo and Aquarium	50%
	Toledo	The Toledo Zoo	50%
Oklahoma	Oklahoma City	Oklahoma City Zoo and Botanical Garden	50%
	Tulsa	Tulsa Zoo	50%
Oregon	Portland	Oregon Zoo	50%
	Winston	Wildlife Safari	50%
Pennsylvania	Hershey	ZOOAMERICA North American Wildlife Park	100% OR 50%
	Norristown	Elmwood Park Zoo	50%
	Philadelphia	Philadelphia Zoo	50%
	Pittsburgh	National Aviary	50%
	Pittsburgh	Pittsburgh Zoo and Aquarium	50%
Pennsylvania	Schnecksville	Lehigh Valley Zoo	100% OR 50%
Rhode Island	Providence	Roger Williams Park Zoo	50%
South Carolina	Columbia	Riverbanks Zoo & Garden	50%
	Greenville	Greenville Zoo	50%
South Dakota	Sioux Falls	Great Plains Zoo	50%
Tennessee	Chattanooga	Chattanooga Zoo at Warner Park	100% OR 50%
	Knoxville	Zoo Knoxville	50%
	Memphis	Memphis Zoo	50%
	Nashville	Nashville Zoo, Inc.	50%
Texas	Abilene	Abilene Zoological Gardens	100% OR 50%
	Brownsville	Gladys Porter Zoo	100% OR 50%
	Corpus Christi	Texas State Aquarium	50% (Limit 2)
	Dallas	Dallas Zoo	50%
	Fort Worth	Fort Worth Zoo	50%
	Grapevine	SEA LIFE Grapevine Aquarium	50%
	Houston	Houston Zoo	50%
	San Antonio	San Antonio Zoological Society	50%
	Tyler	Caldwell Zoo	50%
	Waco	Cameron Park Zoo	50%
Utah	Salt Lake City	Tracy Aviary	100% OR 50%
	Salt Lake City	Utah's Hogle Zoo	50%
Virginia	Norfolk	Virginia Zoological Park	50%
	Virginia Beach	Virginia Aquarium & Marine Science Center	50%
Washington	Eatonville	Northwest Trek Wildlife Park	50%
	Tacoma	Point Defiance Zoo & Aquarium	50%
	Seattle	Woodland Park Zoo	50%
West Virginia	Wheeling	Oglebay's Good Zoo	100% OR 50%
Wisconsin	Baraboo	International Crane Foundation	100% OR 50%
	Madison	Henry Vilas Zoo	FREE TO PUBLIC - 10% off Grille and Gift Shop
	Milwaukee	Milwaukee County Zoological Gardens	100% OR 50%
	Racine	Racine Zoological Gardens	50%
	Suamico	Northeastern Wisconsin NEW Zoo & Adventure Park	50%
