Institution	Address	Website
Central Sierra Historical Society & Museum, Inc.	24642 Tollhouse Rd, Shaver Lake, CA 93664	https://museumofthesierra.org/
Italian American Museum of Los Angeles	644 N. Main Street, Los Angeles, CA 90012	www.iamla.org
Olaf Wieghorst Museum and Western Heritage Center	131 Rea Avenue, El Cajon, CA  92020	https://wieghorstmuseum.org/
Heritage Museum of Orange County	3101 W Harvard St., Santa Ana, CA 92704	www.heritagemuseumoc.org
South Park City Museum	100 4th Street PO Box 634 Fairplay, CO 80440	https://www.southparkcity.org
Museum of Western Colorado	462 Ute Avenue, Grand Junction, CO 81501 (3 locations; call for details)	https://www.museumofwesternco.org
History Colorado	1200 Broadway Denver, CO 80203	https://www.historycolorado.org
Centennial Village Museum	1475 A Street Greeley, CO 80631	https://greeleymuseums.com/locations/centennial-village/
Museum of Boulder	2205 Broadway Boulder, CO 80302	https://museumofboulder.org
Colorado Springs Pioneers Museum	215 S. Tejon St. Colorado Springs, CO 80903	https://www.cspm.org
Cozens Ranch	77849 US Hwy 40 Fraser, CO 80446	https://grandcountyhistory.org/museums/cozens-ranch-museum/
Pioneer Village Museum	110 East Byers Ave Hot Sulphur Springs, CO 80451	https://grandcountyhistory.org/museums/pioneer-village-museum/
Heritage Park	111 N. 4th St. Kremmling, CO 80459	https://grandcountyhistory.org/museums/heritage-park-museum/
Golden History Museum	923 10th St. Golden, CO 80401	https://goldenhistory.org
Rocky Mountain Wing, Commemorative Air Force	780 Heritage Way Grand Junction, CO 81506	https://www.rockymountainwingcaf.org/
American Numismatic Association Money Museum	818 N Cascade Ave, Colorado Springs, CO 80903, USA	https://www.money.org/
Lafayette History Museum	108 E. Simpson St., Lafayette, CO 80026	https://lafayettehistoricalsociety.org/
Connecticut Trolley Museum	58 North Road East Windsor, CT 06088	https://www.ct-trolley.org
1842 Second Meeting House, Bethel Historical Society	40 Main St. Bethel, CT 06801	https://www.bethelhistoricalsociety.com
Fairfield Museum & History Center	370 Beach Rd, Fairfield, CT 06824	https://www.fairfieldhistory.org
Delaware Historical Society	505 Market Street Wilmington, DE 19801	https://www.dehistory.org
Delaware Agricultural Museum & Village	866 North DuPont Highway Dover, DE 19901	https://www.agriculturalmuseum.org
New Castle Historical Society Historic Houses	30 Market St. New Castle, DE 19720	https://www.newcastlehistory.org
Pencader Heritage Museum	2029 Sunset Lake Rd., Newark, DE 19702	https://www.pencaderheritage.org/
Edison & Ford Winter Estates	2350 McGregor Boulevard Fort Myers, FL 33901	https://www.edisonford.org/
Orange County Regional History Center	65 East Central Boulevard Orlando, FL 32801	https://www.thehistorycenter.org
Key West Art & Historical Society	281 Front Street Key West, FL 33040	https://www.kwahs.org
HistoryMiami Museum	101 West Flagler Street Miami, FL 33130	https://www.historymiami.org
Jewish Museum of Florida	301 Washington Avenue Miami Beach, FL 33139	https://www.JMOF.FIU.EDU
Seminole Ah-Tah-Thi-Ki Museum	30290 Josie Billie Hwy PMB 1003, Clewiston, FL 33440	https://www.ahtahthiki.com
Tampa Bay History Center	801 Old Water Street Tampa Bay, FL 33602	https://www.tampabayhistorycenter.org
Historic Spanish Point	337 North Tamiami Trail Osprey, FL 34229	https://www.historicspanishpoint.org
Richard and Pat Johnson Palm Beach County History	300 North Dixie Highway West Palm Beach, FL 33401	https://www.historicalsocietypbc.org
World Golf Hall of Fame and Museum	One World Golf Place St. Augustine, FL 32092	https://www.worldgolfhalloffame.org
Vero Heritage Center	2140 14th Ave. Vero Beach, FL 32960	https://www.veroheritage.org
Mandarin Museum and Historical Society	11964 Mandarin Rd. Jacksonville, FL 32223	https://www.mandarinmuseum.net
Fort Lauderdale Historical Society	219 SW 2 Avenue Fort Lauderdale, FL 33312	https://historyfortlauderdale.org/museum/
Florida Keys History & Discovery Center	82100 Overseas Highway Islamorada, FL 33036	https://www.keysdiscovery.com
Historic Stranahan House Museum	335 S.E. 6th Avenue Fort Lauderdale, FL 33301	https://www.stranahanhouse.org
UWF Historic Trust, Pensacola	330 South Jefferson St., Pensacola FL 32502	https://www.historicpensacola.org
The Brevard Museum of History and Natural Science	2201 Michigan Ave. Cocoa, FL 32926	https://www.brevard-museum.com/
The Florida Historical Society	435 Brevard Ave. Cocoa, FL 32922	https://www.myfloridahistory.org
Heritage Village	11909 125th Street N. Largo, FL 33774	https://www.pinellascounty.org/heritage
Old Davie Schhol Historical Museum	6650 Griffin Rd. Davie, FL 33314	https://www.olddavieschool.org
St. Petersburg Museum of History	335 2nd Ave. NE St. Petersburg, FL 33701	https://www.spmoh.org
Sample McDougald House	450 NE 10th Street Pompano Beach, FL 33061	https://www.samplemcdougald.org
Osceola County Welcome Center and History Museum	4155 W Vine St. Kissimmee, FL 34741	https://www.osceolahistory.org
Casa Feliz Historic Home Museum	656 N. Park Ave. Winter Park, FL 32789	https://www.casafeliz.us
Pioneer Village at Shingle Creek	2491 Babb Rd. Kissimme, FL 34746	https://osceolahistory.org/pioneer-village/
Dunedin History Museum	349 Main St, Dunedin, FL 34698	https://www.dunedinmuseum.org/
Lake Wales History Museum	325 S. Scenic Hwy, Lake Wales, FL 33853	https://lakewaleshistory.org/
Palm Harbor Museum	2043 Curlew Rd, Palm Harbor, FL 34683	https:/palmharbormuseum.com
The Old Courthouse Heritage Museum	1 Courthouse Square, Inverness, FL 34450	https://cccourthouse.org/
Amelia Island Museum of History	233 S 3rd St, Fernandina Beach, FL 32034	https://ameliamuseum.org/
Gulfport Historical Society	5301 28th Ave S, Gulfport, FL 33707	https://www.gulfporthistoricalsociety.org/
Military Heritage Museum	900 W Marion Ave, Punta Gorda, FL 33950	https://militaryheritagemuseum.org
Historic Stranahan House Museum	335 SE 6th Avenue, Fort Lauderdale, FL 33301	https://stranahanhouse.org/
Old Courthouse Heritage Museum	1 Courthouse Square, Inverness, FL 34450	www.cccourthouse.org
The Columbus Museum	1251 Wynnton Road Columbus, GA 31906	https://www.columbusmuseum.com
Augusta Museum of History	560 Reynolds Street Augusta, GA 30901	https://www.augustamuseum.org
Atlanta History Center	130 West Paces Ferry Road Northwest Atlanta, GA 30305	https://www.atlantahistorycenter.com
Marietta History Center	1 Depot St Marietta, GA 30060	https://www.mariettahistory.org
Chieftains Museum and Major Ridge Home	501 Riverside Parkway Rome, GA 30161	https://www.chieftainsmuseum.org
The William Breman Jewish Heritage Museum	1440 Spring Street NW Atlanta, GA 30309	https://www.thebreman.org
Thronateeska Heritage Center	100 West Roosevelt Ave. Albany, GA 31701	https://heritagecenter.org
Environmental & Heritage Center	2020 Clean Water Dr. Buford, GA 30519	https://www.gwinnettcounty.com/
American Baptist Historical Society	2930 Flowers Road South Atlanta, GA 30341	https://www.abhsarchives.org
Legacy Museum on Main	136 Main St. PO Box 1051, LaGrange, GA 30240	https://www.trouparchives.org
Bonner County History Museum	611 S. Ella Ave. Sandpoint, ID 83864	https://www.bonnercountyhistory.org
Idaho State Museum	610 Julia Davis Dr. Boise, ID 83702	https://history.idaho.gov/location/museum/
Old Idaho Penitentiary	2445 Old Penitentiary Rd. Boise, ID 83712	https://www.history.idaho.gov/oldpen
Nez Perce County Historical Society & Museum	0306 3rd St, Lewiston, ID 83501	https://www.nezpercecountymuseum.com
Center for American Archeology	101 N. Broadway PO Box 366 Kampsville, IL 62053	https://www.caa-archeology.org
Abraham Lincoln Presidential Library and Museum	112 N. 6th St. Springfield, IL 62701	https://www.presidentlincoln.org
Boone County Museum of History	314 S. State St. Belvidere, IL 61010	https://www.bcmuseumofhistory.org
DuPage County Historical Museum	102 East Wesley Street Wheaton, IL 60187	https://dupagemuseum.org/
Ethnic Heritage Museum	1129 South Main Street PO Box 382 Rockford, IL 61105	https://www.ethnicheritagemuseum.org
Frank Lloyd Wright Home and Studio	951 Chicago Avenue Oak Park, IL 60302	https://www.flwright.org
Illinois State Museum	502 South Spring Street Springfield, IL 62706	https://www.illinoisstatemuseum.org
Joliet Area Historical Museum	204 North Ottawa Street Joliet, IL 60432	https://www.jolietmuseum.org
McLean County Museum of History and the Cruisin' with Lincoln on 66 Visitors' Center	200 North Main Street Historic Downtown Bloomington Bloomington, IL 61701	https://www.mchistory.org
Naper Settlement	523 South Webster Street Naperville, IL 60540	https://www.napersettlement.org
Tinker Swiss Cottage Museum and Gardens	411 Kent Street Rockford, IL 61102	https://www.tinkercottage.com
Vermilion County Museum	116 North Gilbert Street Danville, IL 61832	https://www.vermilioncountymuseum.org
Wilmette Historical Museum	609 Ridge Road Wilmette, IL 60091	https://www.wilmettehistory.org
Winnetka Historical Society	411 Linden Street PO Box 365 Winnetka, IL 60093	https://www.winnetkahistory.org
Norwood Park Historical Society	5624 North Newark Aveune Chicago, IL 60631	https://www.norwoodparkhistoricalsociety.org
Elmhurst History Museum	120 East Park Aveune Elmhurst, IL 60126	https://www.elmhursthistory.org
Geneva History Museum	113 South Third Street Geneva, IL 60134	https://www.genevahistorymuseum.org
Historical Society of Quincy and Adams County	425 South 12th Street Quincy, IL 62301	https://www.hsqac.org
Midway Village Museum	6799 Guilford Road Rockford, IL 61107	https://www.midwayvillage.com
The National Public Housing Museum	625 N Kingsbury St., Chicago, IL, 60654	https://www.nphm.org/
Peoria Riverfront Museum	222 Southwest Washington Street Peoria, IL 61602	https://www.peoriariverfrontmuseum.org/
Madison County Historical Museum and Archival Library	801 North Main Street Edwardsville, IL 62025-1111	https://madcohistory.org
The Richard H. Driehaus Museum	40 E. Erie St. Chicago, IL 60611	https://www.driehausmuseum.org
Dana-Thomas House	301 E. Lawrence Ave. Springfield, IL 62703	https://www.dana-thomas.org
Illinois National Guard and Military Historical Society	1301 N. MacArthur Blvd Springfield, IL 62702	https://www.il.ngb.army.mil
Mount Prospect Historical Society	101 S. Maple St. Mount Prospect, IL 60056-3229	https://mtphist.org
The Evanston History Center in the Charles Gates Dawes House	225 Greenwood St. Evanston, IL 60201	https://www.evanstonhistorycenter.org
Spurlock Museum	600 S. Gregory St. Urbana, IL 61801	https://www.spurlock.illinois.edu
Dekalb County History Center	1730 N. Main St. Sycamore, IL 60178	https://www.dekalbcountyhistory.org/
Lake County Discovery Museum	1899 West Winchester Rd., Libertyville, IL 60048	https://www.lcfpd.org/museum
Lincoln Heritage Museum	1115 Nicholson Rd. Lincoln, IL 62656	https://museum.lincolncollege.edu
Aurora Historical Society- Tanner House Museum	305 Cedar St. Aurora, IL 60506	https://www.aurorahistory.net/visit/tanner-house/
Aurora Historical Society- David L. Pierce Art and History Center	20 E. Downer Pl. Aurora, IL 60505	https://www.aurorahistory.net/visit/david-l-pierce-art-history-center/
Erlander Home Museum	404 S. Third St. Rockford, IL 61104	https://swedishhistorical.org
Kenilworth Historical Society	415 Kenilworth Ave. Kenilworth, IL 60043	https://kenilworthhistory.org
Flagg Township Museum	518 4th Ave. Rochelle, IL 61068	https://www.flaggtownshipmuseumrochelle.org/home.aspx
Vermilion County War Museum	307 N. Vermilion St. Danville, IL 61832	https://www.vcwm.org
Arlington Heights Historical Museum	110 W. Fremont Street, Arlington Heights, IL 60004	https://www.ahmuseum.org/
McHenry County Historical Society and Museum	6422 Main Street, Union, IL 60180	https://www.mchenrycountyhistory.org
Lincoln Presidential Foundation	944 Clock Tower Dr.	www.lincolnpresidential.org
Glen Carbon Heritage Museum	124 School St, Glen Carbon, IL 62034	https://www.glencarbonil.gov/891/Heritage-Museum-and-Log-Cabin
Mendota Museum & Historical Society	901 Washington St, Mendota, IL 61342	https://www.mendotamuseums.org/
Jackson County Historical Society	1616 Edith Street, Murphysboro, IL  62966	https://jchsil.org/
Warren County History Museum	238 South Sunny Lane, Monmouth, IL  61462	https://www.wchistorymuseum.com/
Elgin History Museum	360 Park St., Elgin, IL  60120	https://elginhistory.org/
Wauconda Township Historical Society	1711 N. Main Street, Wauconda, IL  60084	https://www.waucondahistory.org/
Champaign County History Museum	102 E University Ave, Champaign, IL  61820	https://www.champaigncountyhistory.org/
St. Charles History Museum	215 E Main St, St. Charles, IL  60174	https://stcmuseum.org
Elk Grove Historical Museum	399 Biesterfield Rd, Elk Grove Village, IL 60007	https://elkgroveparks.org/museum
Illinois Governor's Mansion	410 E Jackson St, Springfield, IL 62701	https://www.illinoismansion.org
Tampico Area Historical Society	119 S Main St, Tampico, IL 61283	https://tampicohistoricalsociety.com/
Lombard Historical Society	23 W Maple St, Lombard, IL 60148	https://www.lombardhistory.org/
Park Ridge History Center	721 N Prospect Ave, Park Ridge, IL 60068	https://www.parkridgehistorycenter.org
Poplar Grove Vintage Wings & Wheels Museum	5151 Orth Road Ste. A-1, Poplar Grove, IL 61065	www.wwmuseum.org
The History Center	302 East Berry Street Fort Wayne, IN 46802	https://www.fwhistorycenter.com
La Porte County Historical Society & Museum	2405 Indiana Avenue Suite 1 La Porte, IN 46350	https://www.laportecountyhistory.org
Indiana Historical Society	450 West Ohio Street Indianapolis, IN 46202	https://www.indianahistory.org
Eiteljorg Museum of American Indians & Western Art	500 West Washington Street Indianapolis, IN 46204	https://www.eiteljorg.org
Conner Prairie Interactive History Park	13400 Allisonville Road Fishers, IN 46038	https://www.connerprairie.org
The History Museum	808 West Washington Street South Bend, IN 46601	https://www.historymuseumSB.org
North Manchester Center for History	122 East Main Street North Manchester, IN 46962	https://www.nmanchesterhistory.org
Museum of Culver & Lake Maxinkuckee History	102 W. Jefferson St., Culver, IN 46511	https://www.culverahs.com
Porter County Museum	153 Franklin St. Valparaiso, IN 46383	https://www.pocomuse.org
Brown County History Center	90 E. Gould St. PO Box 668 Nashville, IN 47448	https://www.browncountyhistorycenter.org
Museum at Lassen's Resort	7408 Constitution Ave. Cedar Lake, IN 46303	https://lassensresort.org/
Whitley County Historical Museum	108 W. Jefferson St. Columbia City, IN 46725	https://www.whitleymuseum.com/
Model T Museum	309 North 8th St. Richmond, IN  47375-0996	https://www.mtfca.com/museum/
Wabash Co. Historical Museum	36 E. Market St. Wabash, IN 46992	https://www.wabashmuseum.org
Ernie Pyle World War II Museum	120 W. Briarwood Ave. Dana, IN 47847	https://erniepyle.org
Monroe County History Center	202 E. Sixth Street Bloomington, IN 47408	https://monroehistory.org
Evansville Museum of Arts, History. and Science	411 S.E. Riverside Dr Evansville, IN 47713-1098	https://emuseum.org
Ruthmere Museum Campus	302 East Beardsley Ave. Elkhart, IN 46514	https://www.ruthmere.org
Carnegie Center for Art and History	201 E. Spring Street, New Albany, IN 47150	https://www.carnegiecenter.org/
LST Ship Memorial, Inc.	610 NW Riverside Dr, Evansville, IN 47708	https://www.lstmemorial.org/
Studebaker National Museum	201 Chapin St., South Bend, IN 46601	https://www.studebakermuseum.org
Howard County Historical Society	1200 W Sycamore St, Kokomo, IN 46901	https://hchsmd.org/
Roanoke Historical Museum	102 1st St, Roanoke, IN 46783	https://roanokehistoricalmuseum.org
Living History Farms	11121 Hickman Road Urbandale, IA 50322	https://www.livinghistoryfarms.org
Johnson County Historical Society	200 E. 9th St., STE 101	https://www.johnsoncountyhistory.org
The History Center	800 2nd Avenue SE, Cedar Rapids, IA 52402	https://www.historycenter.org/
Muscatine History & Industry Center	117 West 2nd Street Muscatine, IA 52761	https://www.muscatinehistory.org
National Czech & Slovak Museum & Library	1400 Inspiration Place SW Cedar Rapids, IA 52404	https://www.NCSML.org
National Mississippi River Museum & Aquarium	350 East 3rd Street Port of Dubuque Dubuque, IA 52001	https://www.rivermuseum.com
Sioux City Public Museum	607 Fourth St. Sioux City, IA 51101	https://www.siouxcitymuseum.org
Vesterheim Norwegian-American Museum	520 West Water Street Decorah, IA 52101	https://www.vesterheim.org
Jackson County History Museum	1212 East Quarry Street On the Fairgrounds Maquoketa, IA 52060	https://www.jciahs.com
Clinton Engines Museum (Jackson County Historical Society)	605 East Maple Street Maquoketa, IA 52060	https://www.clintonengines.com
Hoyt Sherman Place	1501 Woodland Ave. Des Moines, IA 50309	https://www.hoytsherman.org
Museum of Danish America	2212 Washington Street Elk Horn, IA 51531	https://www.danishmuseum.org
The Fort Museum and Frontier Village	1 Museum Rd. Fort Dodge, IA 50501	https://www.fortmuseumfv.com
The Harlan-Lincoln House at Iowa Wesleyan University	101 W. Broad Street Mount Pleasant, IA 52641	https://www.iw.edu/harlan-lincoln-house
State Historical Society of Iowa	600 E Locust St, Des Moines, IA 50319	https://history.iowa.gov/
Ellis County Historical Society Museum	100 West 7th Street Hays, KS 67601	https://ellis-county-historical-society.square.site/
Kansas Museum of History	6425 Southwest 6th Avenue Topeka, KS 66615	https://www.kshs.org
Shawnee Town Museum	11501 West 57th Steet Shawnee, KS 66203	https://www.shawneetown.org
The Wichita-Sedgwick County Historical Museum Association	204 South Main Street Wichita, KS 67202	https://www.wichitahistory.org
Watkins Museum of History	1047 Massachusetts Street Lawerence, KS 66044	https://www.watkinsmuseum.org
The Walter P. Chrysler Boyhood Home and Museum	102 W. 10th St. Ellis, KS 67637	https://www.chryslerboyhoodhome.org/
Rice County Historical Society - Coronado Quivira Museum	105 West Lyon St. Lyons, KS 67554	https://www.cqmuseum.org
Robert J. Dole Institute of Politics	2350 Petefish Dr. Lawrence, KS 66045	https://www.doleinstitute.org
Dwight D. Eisenhower Presidential Library, Museum and Boyhood Home	200 SE Fourth St. Abilene, KS 67410	https://www.eisenhower.archives.gov
Lindsborg Old Mill & Swedish Heritage Museum	120 East Mill Street, Lindsborg, KS  67456	https://www.oldmillmuseum.org
Riley County Historical Society & Museum	2309 Claflin Rd., Manhatten, KS  66502	https://www.rileychs.com/
Dickinson County Heritage Center	412 S Campbell St, Abilene, KS 67410	https://www.dickinsoncountyhistoricalsociety.com/
Kentucky Historical Society	100 West Broadway Street Frankfort, KY 40601	https://www.history.ky.gov
Lexington History Museum	210 N Broadway, Lexingston, KY 40507	https://lexhistory.org/
Old Fort Western	16 Cony Street Augusta, ME 04330	https://www.oldfortwestern.org
Seal Cove Auto Museum	1414 Tremont Rd. PO Box 106 Seal Cove, ME 04674	https://www.sealcoveautomuseum.org
Boothbay Railway Village	586 Wiscasset Road Boothbay, ME 04537	https://www.railwayvillage.org
Rufus Porter Museum	121 Main St. Bridgton, ME 04009	https://www.rufusportermuseum.org
Maine's First Ship	27 Commercial St, Bath, ME 04530	https://www.mfship.org
Johns Hopkins University Museums	3400 North Charles Street, Baltimore, MD 21218 (2 locations; see map for additional locations)	https://www.museums.jhu.edu
Dorchester County Historical Society	1003 Greenway Drive Cambridge, MD 21613	https://www.dorchesterhistory.com/
Maryland Center for History and Culture	610 Park Avenue, Baltimore, MD 21201	https://www.mdhistory.org/
The Star-Spangled Banner Flag Museum	844 East Pratt Street Baltimore, MD 21202	https://www.flaghouse.org
The National Colonial Farm at Piscataway Park	3400 Bryan Point Rd. Accokeek, MD 20607	https://www.accokeekfoundation.org
Historic Newton: Jackson Homestead	527 Washington Street Newton, MA 02458	https://www.newtonma.gov/government/historic-newtons
NHA Whaling Museum	15 Broad Street Box 1016 Nantucket, MA 02554	https://www.nha.org
Worcester Historical Museum	30 Elm Street Worcester, MA 01609	https://www.worcesterhistory.org
The Shirley-Eustis House Museum	33 Shirley Street Roxbury, MA 02119	https://www.shirleyeustishouse.org
Falmouth Museums on the Green	55-65 Palmer Avenue Falmouth, MA 02540	https://museumsonthegreen.org
Westford Historical Society and Musem	2 Boston Rd. Westford, MA 01886	https://museum.westford.org/
Kemp-McCarthy Museum, Rowe Historical Society	282 Zoar Rd. Rowe, MA 01367	https://rowehistoricalsociety.wordpress.com
The Fairbanks House Museum	511 East St., Dedham, Massachusetts 02026	https://fairbankshouse.org/
Boxborough Museum	575 Middle Rd., Boxborough, MA  01719	https://www.boxboroughhistoricalsociety.org/
Detroit Historical Society	5401 Woodward Avenue Detroit, MI 48202 (2 locations; call for details)	https://www.detroithistorical.org
Michigan History Museum	702 West Kalamazoo Street Lansing, MI 48915	https://www.michigan.gov/museum
Heritage Battle Creek	165 N Washington Battle Creek, MI 49017	https://www.heritagebattlecreek.org
Midland County Historical Society - Heritage Park	3417 West Main Street Midland, MI 48640	https://www.mcfta.org/heritage-park/
Harbor Springs History Museum	349 East Main Street Harbor Springs, MI 49740	https://www.harborspringshistory.org
Cheboygan County History Center	427 Court Street PO Box 5005 Cheboygan, MI 49721-5005	https://www.cheboyganhistory.org
Greater West Bloomfield Historical Society	3951 Orchard Lake Road West Bloomfield, MI 48323	https://www.gwbhs.org
USS Silversides Submarine Museum	1346 Bluff St. Muskegon, MI 49441	https://www.silversidesmuseum.org
Heritage Museum and Cultural Center	601 Main Street St. Joesph, MI 49085	https://www.theheritagemcc.org
Grosse Pointe Historical Society	376 Kercheval Ave. Grosse Pointe Farms, MI 48236	https://www.gphistorical.org
Grosse Ile Historical Society	25020 E River Rd. Grosse Ile, MI 48138	https://www.gihistsoc.org
Wayne Historical Museum	One Town Square Wayne, MI 48184	https://waynehistoricalmuseum.wordpress.com
USS LST 393 Veterans Museum	560 Mart St, Muskegon, MI 49440	https://www.lst393.org/
Canton Historical Society	1022 Canton Ctr Rd., Canton, MI 48188	https://www.cantonhistoricalsocietymi.org/
Argus Museum	525 W William St, Ann Arbor, MI  48103	https://argusmuseum.wordpress.com/
Castle Museum of Saginaw County History	500 Federal Ave, Saginaw, MI  48607	https://www.castlemuseum.org/
Hamburg Township Historical Museum	7225 Stone St, Hamburg, MI 48139	https://www.hamburgmuseum.org
Gardner House Museum, Albion Historical Society	509 South Superior St, Albion, MI 49334	https://www.albionhistoricalsociety.org/
Preservation Detroit	8801 Woodward Ave., Detroit, MI 48202	www.preservationdetroit.org
Mower County Historical Society	1303 6th Avenue Southwest Austin, MN 55912	https://www.mowercountyhistory.org
Stearns History Museum & Research Center	235 33rd Avenue South St. Cloud, MN 56301	https://www.stearnshistorymuseum.org/
